sujeto	A?O2	NIT	cla	SUBSECTOR	Z	zm	factor	AÑO
116	2010	811032708	1	5	"1,57"	2	2	1
116	2011	811032708	1	5	"1,31"	2	1	2
116	2012	811032708	1	5	"1,60"	2	2	3
116	2013	811032708	1	5	"1,75"	2	2	4
116	2014	811032708	1	5	"1,92"	2	2	5
117	2010	811032854	1	12	"4,55"	1	2	1
117	2011	811032854	1	12	"4,06"	1	1	2
117	2012	811032854	1	12	"3,18"	1	1	3
117	2013	811032854	1	12	"3,24"	1	2	4
117	2014	811032854	1	12	"3,23"	1	2	5
118	2010	811034178	0	7	"1,86"	2	2	1
118	2011	811034178	0	7	"1,88"	2	2	2
118	2012	811034178	0	7	"1,82"	2	1	3
118	2013	811034178	0	7	"2,42"	2	2	4
118	2014	811034178	0	7	"2,96"	1	1	5
119	2010	811034308	0	6	"2,92"	1	1	1
119	2011	811034308	0	6	"2,66"	2	1	2
119	2012	811034308	0	6	"2,00"	2	2	3
119	2013	811034308	0	6	"2,03"	2	2	4
119	2014	811034308	0	6	"2,23"	2	2	5
120	2010	811035023	0	4	"3,23"	1	2	1
120	2011	811035023	0	4	"2,45"	2	1	2
120	2012	811035023	0	4	"2,40"	2	2	3
120	2013	811035023	0	4	"2,42"	2	1	4
120	2014	811035023	0	4	"2,74"	2	2	5
121	2010	811035034	0	4	"2,42"	2	2	1
121	2011	811035034	0	4	"2,12"	2	1	2
121	2012	811035034	0	4	"2,09"	2	1	3
121	2013	811035034	0	4	"2,73"	2	1	4
121	2014	811035034	0	4	"2,68"	2	2	5
122	2010	811035164	0	5	"1,13"	3	1	1
122	2011	811035164	0	5	"1,22"	3	1	2
122	2012	811035164	0	5	"1,16"	3	1	3
122	2013	811035164	0	5	"1,27"	2	2	4
122	2014	811035164	0	5	"1,45"	2	2	5
123	2010	811035939	1	2	"1,93"	2	1	1
123	2011	811035939	1	2	"1,36"	2	3	2
123	2012	811035939	1	2	"1,39"	2	2	3
123	2013	811035939	1	2	"1,33"	2	1	4
123	2014	811035939	1	2	"1,07"	3	1	5
124	2010	811036701	0	5	"1,56"	2	2	1
124	2011	811036701	0	5	"1,25"	2	1	2
124	2012	811036701	0	5	"1,26"	2	1	3
124	2013	811036701	0	5	"1,27"	2	1	4
124	2014	811036701	0	5	"1,21"	3	3	5
125	2010	811036982	0	8	"2,10"	2	2	1
125	2011	811036982	0	8	"2,02"	2	1	2
125	2012	811036982	0	8	"1,94"	2	2	3
125	2013	811036982	0	8	"1,95"	2	1	4
125	2014	811036982	0	8	"2,08"	2	1	5
126	2010	811037852	0	11	"3,80"	1	3	1
126	2011	811037852	0	11	"3,62"	1	1	2
126	2012	811037852	0	11	"3,54"	1	2	3
126	2013	811037852	0	11	"2,67"	2	1	4
126	2014	811037852	0	11	"3,11"	1	2	5
127	2010	811038729	0	3	"1,26"	2	1	1
127	2011	811038729	0	3	"1,43"	2	2	2
127	2012	811038729	0	3	"1,13"	3	1	3
127	2013	811038729	0	3	"0,89"	3	1	4
127	2014	811038729	0	3	"0,72"	3	1	5
128	2010	811038754	0	1	"1,51"	2	1	1
128	2011	811038754	0	1	"1,58"	2	1	2
128	2012	811038754	0	1	"1,91"	2	1	3
128	2013	811038754	0	1	"1,89"	2	1	4
128	2014	811038754	0	1	"1,85"	2	2	5
129	2010	811038838	1	6	"2,94"	1	1	1
129	2011	811038838	1	6	"2,63"	2	2	2
129	2012	811038838	1	6	"2,58"	2	1	3
129	2013	811038838	1	6	"2,60"	2	2	4
129	2014	811038838	1	6	"2,17"	2	1	5
130	2010	811039023	1	3	"1,92"	2	3	1
130	2011	811039023	1	3	"1,98"	2	1	2
130	2012	811039023	1	3	"1,91"	2	2	3
130	2013	811039023	1	3	"1,96"	2	2	4
130	2014	811039023	1	3	"1,99"	2	2	5
131	2010	811039238	0	4	"5,19"	1	2	1
131	2011	811039238	0	4	"5,67"	1	1	2
131	2012	811039238	0	4	"6,00"	1	1	3
131	2013	811039238	0	4	"3,40"	1	1	4
131	2014	811039238	0	4	"2,06"	2	1	5
132	2010	811039689	0	4	"2,80"	2	2	1
132	2011	811039689	0	4	"2,43"	2	3	2
132	2012	811039689	0	4	"1,71"	2	1	3
132	2013	811039689	0	4	"2,25"	2	1	4
132	2014	811039689	0	4	"2,32"	2	2	5
133	2010	811039709	1	5	"1,77"	2	2	1
133	2011	811039709	1	5	"1,55"	2	2	2
133	2012	811039709	1	5	"1,62"	2	2	3
133	2013	811039709	1	5	"1,54"	2	2	4
133	2014	811039709	1	5	"1,09"	3	2	5
134	2010	811041074	1	9	"2,40"	2	1	1
134	2011	811041074	1	9	"2,43"	2	1	2
134	2012	811041074	1	9	"2,40"	2	1	3
134	2013	811041074	1	9	"2,18"	2	2	4
134	2014	811041074	1	9	"2,54"	2	2	5
135	2010	811041118	1	5	"1,13"	3	1	1
135	2011	811041118	1	5	"1,21"	3	2	2
135	2012	811041118	1	5	"1,65"	2	1	3
135	2013	811041118	1	5	"1,67"	2	2	4
135	2014	811041118	1	5	"2,21"	2	1	5
136	2010	811043583	0	3	"0,89"	3	1	1
136	2011	811043583	0	3	"0,87"	3	1	2
136	2012	811043583	0	3	"0,83"	3	2	3
136	2013	811043583	0	3	"0,69"	3	1	4
136	2014	811043583	0	3	"0,16"	3	3	5
137	2010	811045043	1	5	"1,90"	2	2	1
137	2011	811045043	1	5	"1,61"	2	2	2
137	2012	811045043	1	5	"1,54"	2	2	3
137	2013	811045043	1	5	"1,64"	2	2	4
137	2014	811045043	1	5	"1,65"	2	2	5
138	2010	811045711	1	11	"3,52"	1	1	1
138	2011	811045711	1	11	"4,28"	1	2	2
138	2012	811045711	1	11	"3,51"	1	1	3
138	2013	811045711	1	11	"3,65"	1	1	4
138	2014	811045711	1	11	"3,01"	1	2	5
139	2010	811045791	0	5	"1,95"	2	1	1
139	2011	811045791	0	5	"1,79"	2	2	2
139	2012	811045791	0	5	"1,82"	2	2	3
139	2013	811045791	0	5	"2,03"	2	2	4
139	2014	811045791	0	5	"2,37"	2	2	5
140	2010	811045889	0	8	"3,46"	1	1	1
140	2011	811045889	0	8	"3,58"	1	2	2
140	2012	811045889	0	8	"3,64"	1	2	3
140	2013	811045889	0	8	"4,86"	1	2	4
140	2014	811045889	0	8	"5,87"	1	2	5
141	2010	811046177	0	12	"2,30"	2	2	1
141	2011	811046177	0	12	"1,92"	2	2	2
141	2012	811046177	0	12	"2,03"	2	2	3
141	2013	811046177	0	12	"2,17"	2	1	4
141	2014	811046177	0	12	"2,43"	2	2	5
142	2010	830136939	1	2	"1,50"	2	1	1
142	2011	830136939	1	2	"1,90"	2	1	2
142	2012	830136939	1	2	"2,55"	2	1	3
142	2013	830136939	1	2	"2,77"	2	2	4
142	2014	830136939	1	2	"2,56"	2	2	5
143	2010	830511795	0	12	"1,80"	2	1	1
143	2011	830511795	0	12	"2,80"	2	1	2
143	2012	830511795	0	12	"4,07"	1	2	3
143	2013	830511795	0	12	"8,91"	1	2	4
143	2014	830511795	0	12	"7,38"	1	2	5
144	2010	832000868	0	3	"1,75"	2	3	1
144	2011	832000868	0	3	"2,67"	2	2	2
144	2012	832000868	0	3	"2,85"	2	1	3
144	2013	832000868	0	3	"2,76"	2	1	4
144	2014	832000868	0	3	"4,03"	1	1	5
145	2010	860032030	0	4	"5,37"	1	2	1
145	2011	860032030	0	4	"4,32"	1	2	2
145	2012	860032030	0	4	"4,99"	1	2	3
145	2013	860032030	0	4	"3,65"	1	1	4
145	2014	860032030	0	4	"2,93"	1	1	5
146	2010	860075824	1	6	"4,80"	1	1	1
146	2011	860075824	1	6	"2,09"	2	1	2
146	2012	860075824	1	6	"1,76"	2	2	3
146	2013	860075824	1	6	"1,51"	2	1	4
146	2014	860075824	1	6	"1,57"	2	3	5
147	2010	890901133	0	12	"0,99"	3	2	1
147	2011	890901133	0	12	"-0,03"	3	2	2
147	2012	890901133	0	12	"-0,12"	3	1	3
147	2013	890901133	0	12	"-0,28"	3	1	4
147	2014	890901133	0	12	"-0,20"	3	2	5
148	2010	890901756	1	5	"2,22"	2	1	1
148	2011	890901756	1	5	"1,64"	2	1	2
148	2012	890901756	1	5	"1,41"	2	2	3
148	2013	890901756	1	5	"1,47"	2	1	4
148	2014	890901756	1	5	"1,64"	2	1	5
149	2010	890902566	0	12	"3,96"	1	1	1
149	2011	890902566	0	12	"4,67"	1	1	2
149	2012	890902566	0	12	"4,42"	1	1	3
149	2013	890902566	0	12	"4,86"	1	1	4
149	2014	890902566	0	12	"5,39"	1	2	5
150	2010	890902584	0	11	"3,00"	1	2	1
150	2011	890902584	0	11	"2,99"	1	1	2
150	2012	890902584	0	11	"3,23"	1	2	3
150	2013	890902584	0	11	"3,39"	1	2	4
150	2014	890902584	0	11	"3,45"	1	2	5
151	2010	890903253	0	12	"2,59"	2	1	1
151	2011	890903253	0	12	"2,20"	2	2	2
151	2012	890903253	0	12	"2,60"	2	2	3
151	2013	890903253	0	12	"5,05"	1	1	4
151	2014	890903253	0	12	"3,15"	1	1	5
152	2010	890904475	1	3	"1,88"	2	2	1
152	2011	890904475	1	3	"1,57"	2	1	2
152	2012	890904475	1	3	"1,50"	2	2	3
152	2013	890904475	1	3	"1,76"	2	2	4
152	2014	890904475	1	3	"3,44"	1	2	5
153	2010	890907245	0	8	"3,12"	1	1	1
153	2011	890907245	0	8	"3,81"	1	1	2
153	2012	890907245	0	8	"3,61"	1	2	3
153	2013	890907245	0	8	"3,60"	1	2	4
153	2014	890907245	0	8	"3,79"	1	2	5
154	2010	890908021	0	10	"1,64"	2	1	1
154	2011	890908021	0	10	"1,54"	2	2	2
154	2012	890908021	0	10	"1,52"	2	1	3
154	2013	890908021	0	10	"4,43"	1	2	4
154	2014	890908021	0	10	"4,31"	1	2	5
155	2010	890908822	1	12	"2,52"	2	2	1
155	2011	890908822	1	12	"2,15"	2	2	2
155	2012	890908822	1	12	"3,13"	1	1	3
155	2013	890908822	1	12	"3,35"	1	1	4
155	2014	890908822	1	12	"2,71"	2	2	5
156	2010	890908943	0	4	"2,63"	2	1	1
156	2011	890908943	0	4	"2,60"	2	1	2
156	2012	890908943	0	4	"2,05"	2	2	3
156	2013	890908943	0	4	"2,49"	2	1	4
156	2014	890908943	0	4	"2,85"	2	1	5
157	2010	890911123	0	4	"7,55"	1	2	1
157	2011	890911123	0	4	"6,06"	1	1	2
157	2012	890911123	0	4	"5,58"	1	2	3
157	2013	890911123	0	4	"4,77"	1	3	4
157	2014	890911123	0	4	"3,86"	1	2	5
158	2010	890911545	1	4	"4,62"	1	2	1
158	2011	890911545	1	4	"4,34"	1	1	2
158	2012	890911545	1	4	"4,41"	1	1	3
158	2013	890911545	1	4	"3,77"	1	2	4
158	2014	890911545	1	4	"3,00"	1	1	5
159	2010	890916557	0	1	"2,57"	2	2	1
159	2011	890916557	0	1	"2,27"	2	2	2
159	2012	890916557	0	1	"2,08"	2	2	3
159	2013	890916557	0	1	"2,24"	2	2	4
159	2014	890916557	0	1	"3,06"	1	2	5
160	2010	890916602	1	3	"0,84"	3	1	1
160	2011	890916602	1	3	"0,62"	3	2	2
160	2012	890916602	1	3	"0,44"	3	2	3
160	2013	890916602	1	3	"0,23"	3	2	4
160	2014	890916602	1	3	"0,34"	3	1	5
161	2010	890917521	1	3	"2,18"	2	2	1
161	2011	890917521	1	3	"2,89"	2	2	2
161	2012	890917521	1	3	"2,08"	2	2	3
161	2013	890917521	1	3	"2,31"	2	2	4
161	2014	890917521	1	3	"2,22"	2	2	5
162	2010	890917645	1	2	"3,65"	1	2	1
162	2011	890917645	1	2	"3,65"	1	2	2
162	2012	890917645	1	2	"3,65"	1	1	3
162	2013	890917645	1	2	"3,65"	1	2	4
162	2014	890917645	1	2	"3,65"	1	1	5
163	2010	890917734	1	6	"2,72"	2	1	1
163	2011	890917734	1	6	"3,35"	1	2	2
163	2012	890917734	1	6	"3,46"	1	2	3
163	2013	890917734	1	6	"3,12"	1	2	4
163	2014	890917734	1	6	"3,29"	1	2	5
164	2010	890919009	1	4	"9,77"	1	1	1
164	2011	890919009	1	4	"7,09"	1	2	2
164	2012	890919009	1	4	"7,54"	1	1	3
164	2013	890919009	1	4	"3,79"	1	1	4
164	2014	890919009	1	4	"4,19"	1	2	5
165	2010	890919322	1	3	"1,31"	2	1	1
165	2011	890919322	1	3	"1,74"	2	1	2
165	2012	890919322	1	3	"1,51"	2	1	3
165	2013	890919322	1	3	"1,44"	2	1	4
165	2014	890919322	1	3	"2,65"	2	1	5
166	2010	890920001	1	9	"5,48"	1	1	1
166	2011	890920001	1	9	"5,78"	1	1	2
166	2012	890920001	1	9	"5,33"	1	2	3
166	2013	890920001	1	9	"5,36"	1	1	4
166	2014	890920001	1	9	"5,16"	1	1	5
167	2010	890920101	0	12	"5,01"	1	3	1
167	2011	890920101	0	12	"5,88"	1	2	2
167	2012	890920101	0	12	"6,18"	1	2	3
167	2013	890920101	0	12	"5,34"	1	1	4
167	2014	890920101	0	12	"5,12"	1	2	5
168	2010	890920468	0	6	"2,39"	2	1	1
168	2011	890920468	0	6	"2,06"	2	2	2
168	2012	890920468	0	6	"2,11"	2	2	3
168	2013	890920468	0	6	"1,74"	2	3	4
168	2014	890920468	0	6	"1,83"	2	1	5
169	2010	890920879	0	7	"4,75"	1	1	1
169	2011	890920879	0	7	"5,09"	1	2	2
169	2012	890920879	0	7	"4,69"	1	2	3
169	2013	890920879	0	7	"4,50"	1	1	4
169	2014	890920879	0	7	"4,71"	1	1	5
170	2010	890921112	0	9	"3,56"	1	1	1
170	2011	890921112	0	9	"3,47"	1	1	2
170	2012	890921112	0	9	"2,68"	2	1	3
170	2013	890921112	0	9	"1,92"	2	2	4
170	2014	890921112	0	9	"1,48"	2	1	5
171	2010	890923080	1	5	"2,28"	2	1	1
171	2011	890923080	1	5	"1,67"	2	1	2
171	2012	890923080	1	5	"1,77"	2	1	3
171	2013	890923080	1	5	"1,22"	3	1	4
171	2014	890923080	1	5	"1,22"	3	1	5
172	2010	890923776	0	5	"1,60"	2	2	1
172	2011	890923776	0	5	"1,71"	2	1	2
172	2012	890923776	0	5	"2,07"	2	2	3
172	2013	890923776	0	5	"2,08"	2	1	4
172	2014	890923776	0	5	"2,16"	2	5	5
173	2010	890926122	1	2	"2,14"	2	1	1
173	2011	890926122	1	2	"2,33"	2	1	2
173	2012	890926122	1	2	"1,96"	2	2	3
173	2013	890926122	1	2	"2,24"	2	1	4
173	2014	890926122	1	2	"2,14"	2	2	5
174	2010	890926421	0	1	"2,91"	1	1	1
174	2011	890926421	0	1	"3,11"	1	1	2
174	2012	890926421	0	1	"1,57"	2	3	3
174	2013	890926421	0	1	"2,05"	2	1	4
174	2014	890926421	0	1	"1,83"	2	2	5
175	2010	890926689	0	5	"1,96"	2	3	1
175	2011	890926689	0	5	"2,11"	2	1	2
175	2012	890926689	0	5	"2,17"	2	1	3
175	2013	890926689	0	5	"2,96"	1	2	4
175	2014	890926689	0	5	"2,87"	2	2	5
176	2010	890927144	1	4	"2,85"	2	2	1
176	2011	890927144	1	4	"3,18"	1	1	2
176	2012	890927144	1	4	"7,02"	1	1	3
176	2013	890927144	1	4	"7,72"	1	2	4
176	2014	890927144	1	4	"4,10"	1	3	5
177	2010	890928577	1	12	"5,02"	1	2	1
177	2011	890928577	1	12	"5,34"	1	1	2
177	2012	890928577	1	12	"2,73"	2	1	3
177	2013	890928577	1	12	"5,88"	1	4	4
177	2014	890928577	1	12	"4,13"	1	1	5
178	2010	890929001	1	5	"1,24"	2	4	1
178	2011	890929001	1	5	"1,08"	3	1	2
178	2012	890929001	1	5	"1,02"	3	2	3
178	2013	890929001	1	5	"0,57"	3	3	4
178	2014	890929001	1	5	"0,27"	3	1	5
179	2010	890929019	0	6	"3,57"	1	1	1
179	2011	890929019	0	6	"2,66"	2	1	2
179	2012	890929019	0	6	"1,94"	2	2	3
179	2013	890929019	0	6	"2,04"	2	1	4
179	2014	890929019	0	6	"2,20"	2	2	5
180	2010	890929455	1	12	"4,33"	1	1	1
180	2011	890929455	1	12	"4,36"	1	1	2
180	2012	890929455	1	12	"4,71"	1	1	3
180	2013	890929455	1	12	"4,43"	1	1	4
180	2014	890929455	1	12	"4,62"	1	4	5
181	2010	890929589	1	6	"2,86"	2	1	1
181	2011	890929589	1	6	"2,95"	1	1	2
181	2012	890929589	1	6	"2,21"	2	1	3
181	2013	890929589	1	6	"2,85"	2	1	4
181	2014	890929589	1	6	"3,33"	1	1	5
182	2010	890929809	0	5	"2,06"	2	1	1
182	2011	890929809	0	5	"2,13"	2	1	2
182	2012	890929809	0	5	"2,00"	2	2	3
182	2013	890929809	0	5	"1,94"	2	3	4
182	2014	890929809	0	5	"1,82"	2	4	5
183	2010	890932874	0	3	"0,47"	3	1	1
183	2011	890932874	0	3	"0,46"	3	1	2
183	2012	890932874	0	3	"0,47"	3	1	3
183	2013	890932874	0	3	"0,46"	3	2	4
183	2014	890932874	0	3	"1,64"	2	3	5
184	2010	890935900	1	12	"2,85"	2	1	1
184	2011	890935900	1	12	"3,24"	1	1	2
184	2012	890935900	1	12	"3,33"	1	4	3
184	2013	890935900	1	12	"3,69"	1	2	4
184	2014	890935900	1	12	"3,64"	1	1	5
185	2010	890935977	1	12	"2,09"	2	1	1
185	2011	890935977	1	12	"3,59"	1	1	2
185	2012	890935977	1	12	"3,03"	1	2	3
185	2013	890935977	1	12	"3,00"	1	1	4
185	2014	890935977	1	12	"3,80"	1	1	5
186	2010	890936642	1	3	"1,40"	2	1	1
186	2011	890936642	1	3	"1,54"	2	1	2
186	2012	890936642	1	3	"1,28"	2	1	3
186	2013	890936642	1	3	"0,60"	3	3	4
186	2014	890936642	1	3	"0,66"	3	1	5
187	2010	890936976	1	10	"1,85"	2	3	1
187	2011	890936976	1	10	"2,01"	2	1	2
187	2012	890936976	1	10	"2,19"	2	1	3
187	2013	890936976	1	10	"2,31"	2	1	4
187	2014	890936976	1	10	"1,88"	2	1	5
188	2010	890938692	0	5	"1,33"	2	1	1
188	2011	890938692	0	5	"1,32"	2	1	2
188	2012	890938692	0	5	"1,69"	2	3	3
188	2013	890938692	0	5	"1,36"	2	1	4
188	2014	890938692	0	5	"1,49"	2	1	5
189	2010	890938755	0	2	"2,14"	2	1	1
189	2011	890938755	0	2	"2,25"	2	1	2
189	2012	890938755	0	2	"2,50"	2	1	3
189	2013	890938755	0	2	"2,76"	2	1	4
189	2014	890938755	0	2	"2,96"	1	1	5
190	2010	890939468	1	6	"2,96"	1	1	1
190	2011	890939468	1	6	"3,29"	1	1	2
190	2012	890939468	1	6	"4,35"	1	1	3
190	2013	890939468	1	6	"4,94"	1	1	4
190	2014	890939468	1	6	"5,95"	1	1	5
191	2010	890939648	1	12	"3,25"	1	1	1
191	2011	890939648	1	12	"3,43"	1	1	2
191	2012	890939648	1	12	"2,74"	2	1	3
191	2013	890939648	1	12	"2,81"	2	2	4
191	2014	890939648	1	12	"2,37"	2	1	5
192	2010	890939806	1	2	"-1,08"	3	1	1
192	2011	890939806	1	2	"-1,08"	3	1	2
192	2012	890939806	1	2	"-1,27"	3	1	3
192	2013	890939806	1	2	"-1,39"	3	1	4
192	2014	890939806	1	2	"-5,24"	3	1	5
193	2010	890940275	0	12	"1,53"	2	1	1
193	2011	890940275	0	12	"1,55"	2	1	2
193	2012	890940275	0	12	"1,68"	2	1	3
193	2013	890940275	0	12	"1,76"	2	1	4
193	2014	890940275	0	12	"1,51"	2	1	5
194	2010	890940503	0	7	"5,12"	1	2	1
194	2011	890940503	0	7	"1,89"	2	1	2
194	2012	890940503	0	7	"2,52"	2	1	3
194	2013	890940503	0	7	"2,40"	2	2	4
194	2014	890940503	0	7	"2,32"	2	1	5
195	2010	890941825	1	12	"2,10"	2	1	1
195	2011	890941825	1	12	"1,86"	2	1	2
195	2012	890941825	1	12	"1,45"	2	2	3
195	2013	890941825	1	12	"1,30"	2	1	4
195	2014	890941825	1	12	"0,75"	3	1	5
196	2010	890941851	0	5	"1,60"	2	2	1
196	2011	890941851	0	5	"1,31"	2	1	2
196	2012	890941851	0	5	"1,40"	2	2	3
196	2013	890941851	0	5	"1,54"	2	1	4
196	2014	890941851	0	5	"1,46"	2	2	5
197	2010	890941916	0	8	"3,04"	1	1	1
197	2011	890941916	0	8	"2,29"	2	1	2
197	2012	890941916	0	8	"2,36"	2	2	3
197	2013	890941916	0	8	"2,84"	2	1	4
197	2014	890941916	0	8	"3,25"	1	1	5
198	2010	890942360	0	12	"2,73"	2	2	1
198	2011	890942360	0	12	"3,05"	1	1	2
198	2012	890942360	0	12	"-0,03"	3	1	3
198	2013	890942360	0	12	"3,16"	1	1	4
198	2014	890942360	0	12	"2,80"	2	1	5
199	2010	890942840	1	3	"1,37"	2	2	1
199	2011	890942840	1	3	"1,18"	3	2	2
199	2012	890942840	1	3	"4,98"	1	1	3
199	2013	890942840	1	3	"5,16"	1	1	4
199	2014	890942840	1	3	"5,48"	1	1	5
200	2010	900011657	1	8	"5,06"	1	1	1
200	2011	900011657	1	8	"4,86"	1	1	2
200	2012	900011657	1	8	"5,31"	1	1	3
200	2013	900011657	1	8	"4,72"	1	1	4
200	2014	900011657	1	8	"4,41"	1	3	5
201	2010	900044503	0	5	"1,96"	2	2	1
201	2011	900044503	0	5	"1,70"	2	2	2
201	2012	900044503	0	5	"1,63"	2	2	3
201	2013	900044503	0	5	"1,46"	2	1	4
201	2014	900044503	0	5	"1,45"	2	4	5
202	2010	900061593	1	5	"1,92"	2	4	1
202	2011	900061593	1	5	"1,37"	2	4	2
202	2012	900061593	1	5	"1,89"	2	1	3
202	2013	900061593	1	5	"5,51"	1	1	4
202	2014	900061593	1	5	"1,43"	2	4	5
203	2010	900082011	0	3	"1,13"	3	1	1
203	2011	900082011	0	3	"1,43"	2	1	2
203	2012	900082011	0	3	"1,52"	2	3	3
203	2013	900082011	0	3	"1,86"	2	1	4
203	2014	900082011	0	3	"1,63"	2	3	5
204	2010	900088916	0	5	"2,00"	2	1	1
204	2011	900088916	0	5	"1,65"	2	1	2
204	2012	900088916	0	5	"1,60"	2	1	3
204	2013	900088916	0	5	"1,68"	2	1	4
204	2014	900088916	0	5	"1,55"	2	4	5
205	2010	900089324	0	5	"1,35"	2	1	1
205	2011	900089324	0	5	"1,13"	3	1	2
205	2012	900089324	0	5	"1,05"	3	3	3
205	2013	900089324	0	5	"1,17"	3	1	4
205	2014	900089324	0	5	"1,26"	2	1	5
206	2010	900110227	1	1	"0,92"	3	1	1
206	2011	900110227	1	1	"1,10"	3	1	2
206	2012	900110227	1	1	"-1,01"	3	1	3
206	2013	900110227	1	1	"0,04"	3	1	4
206	2014	900110227	1	1	"4,29"	1	2	5
207	2010	900114825	0	3	"1,46"	2	2	1
207	2011	900114825	0	3	"1,54"	2	1	2
207	2012	900114825	0	3	"2,38"	2	4	3
207	2013	900114825	0	3	"1,60"	2	3	4
207	2014	900114825	0	3	"1,49"	2	1	5
208	2010	900147530	0	5	"1,55"	2	1	1
208	2011	900147530	0	5	"1,41"	2	1	2
208	2012	900147530	0	5	"1,30"	2	1	3
208	2013	900147530	0	5	"1,35"	2	1	4
208	2014	900147530	0	5	"1,33"	2	1	5
209	2010	900182268	1	10	"0,85"	3	4	1
209	2011	900182268	1	10	"2,03"	2	1	2
209	2012	900182268	1	10	"0,78"	3	1	3
209	2013	900182268	1	10	"0,83"	3	1	4
209	2014	900182268	1	10	"0,82"	3	1	5
210	2010	900185737	1	1	"1,40"	2	1	1
210	2011	900185737	1	1	"1,55"	2	1	2
210	2012	900185737	1	1	"0,90"	3	1	3
210	2013	900185737	1	1	"1,52"	2	3	4
210	2014	900185737	1	1	"0,72"	3	1	5
211	2010	900223044	1	10	"6,83"	1	1	1
211	2011	900223044	1	10	"7,70"	1	2	2
211	2012	900223044	1	10	"3,25"	1	1	3
211	2013	900223044	1	10	"5,42"	1	1	4
211	2014	900223044	1	10	"3,90"	1	1	5
212	2010	900231101	0	7	"9,62"	1	1	1
212	2011	900231101	0	7	"5,14"	1	1	2
212	2012	900231101	0	7	"5,67"	1	1	3
212	2013	900231101	0	7	"5,19"	1	1	4
212	2014	900231101	0	7	"4,17"	1	3	5
213	2010	900305092	1	6	"7,52"	1	2	1
213	2011	900305092	1	6	"3,55"	1	1	2
213	2012	900305092	1	6	"3,78"	1	1	3
213	2013	900305092	1	6	"1,66"	2	1	4
213	2014	900305092	1	6	1	3	1	5
